pollutant,country,month_day,value_numeric_mean,value_datetime_begin,day
SO2,Germany,520.0,1.3233588356660413,2023-05-20 18:00:00,
SO2,Germany,520.0,1.3233588356660413,2023-05-20 17:00:00,
CO,Estonia,520.0,0.2430987619047619,2023-05-20 22:00:00,
CO,Estonia,520.0,0.2430987619047619,2023-05-20 21:00:00,
CO,Estonia,520.0,0.2430987619047619,2023-05-20 20:00:00,
CO,Estonia,520.0,0.2430987619047619,2023-05-20 19:00:00,
PM10,Czech Republic,520.0,24.503296703296705,2023-05-20 20:00:00,
PM10,Czech Republic,520.0,24.503296703296705,2023-05-20 19:00:00,
PM10,Czech Republic,520.0,24.503296703296705,2023-05-20 18:00:00,
PM10,Czech Republic,520.0,24.503296703296705,2023-05-20 17:00:00,
CO,Undefined,520.0,0.2233812944444444,2023-05-20 19:00:00,
PM10,Czech Republic,520.0,24.503296703296705,2023-05-20 22:00:00,
O3,Czech Republic,520.0,77.98858858858858,2023-05-20 20:00:00,
O3,Czech Republic,520.0,77.98858858858858,2023-05-20 19:00:00,
O3,Czech Republic,520.0,77.98858858858858,2023-05-20 18:00:00,
O3,Czech Republic,520.0,77.98858858858858,2023-05-20 17:00:00,
O3,Czech Republic,520.0,77.98858858858858,2023-05-20 22:00:00,
O3,Czech Republic,520.0,77.98858858858858,2023-05-20 21:00:00,
CO,Estonia,520.0,0.2430987619047619,2023-05-20 18:00:00,
CO,Estonia,520.0,0.2430987619047619,2023-05-20 17:00:00,
CO,Germany,520.0,0.2477862025171625,2023-05-20 17:00:00,
CO,Czech Republic,520.0,0.4631472713432836,2023-05-20 19:00:00,
CO,Czech Republic,520.0,0.4631472713432836,2023-05-20 22:00:00,
CO,Czech Republic,520.0,0.4631472713432836,2023-05-20 21:00:00,
CO,Czech Republic,520.0,0.4631472713432836,2023-05-20 20:00:00,
CO,Czech Republic,520.0,0.4631472713432836,2023-05-20 18:00:00,
PM10,Czech Republic,520.0,24.503296703296705,2023-05-20 21:00:00,
CO,Austria,520.0,0.225197500647482,2023-05-20 20:00:00,
CO,Undefined,520.0,0.2233812944444444,2023-05-20 18:00:00,
SO2,Undefined,520.0,0.8749853816666666,2023-05-20 17:00:00,
CO,Spain,520.0,0.2797037793667007,2023-05-20 17:00:00,
CO,Spain,520.0,0.2797037793667007,2023-05-20 18:00:00,
CO,Spain,520.0,0.2797037793667007,2023-05-20 19:00:00,
CO,Spain,520.0,0.2797037793667007,2023-05-20 20:00:00,
CO,Spain,520.0,0.2797037793667007,2023-05-20 21:00:00,
CO,Spain,520.0,0.2797037793667007,2023-05-20 22:00:00,
O3,Spain,520.0,91.04573941987636,2023-05-20 17:00:00,
O3,Spain,520.0,91.04573941987636,2023-05-20 18:00:00,
O3,Spain,520.0,91.04573941987636,2023-05-20 19:00:00,
O3,Spain,520.0,91.04573941987636,2023-05-20 20:00:00,
O3,Spain,520.0,91.04573941987636,2023-05-20 21:00:00,
O3,Spain,520.0,91.04573941987636,2023-05-20 22:00:00,
O3,Germany,520.0,73.32489497252207,2023-05-20 17:00:00,
O3,Germany,520.0,73.32489497252207,2023-05-20 18:00:00,
O3,Germany,520.0,73.32489497252207,2023-05-20 19:00:00,
O3,Germany,520.0,73.32489497252207,2023-05-20 20:00:00,
PM10,Bulgaria,520.0,19.94970802919708,2023-05-20 22:00:00,
PM10,Bulgaria,520.0,19.94970802919708,2023-05-20 21:00:00,
PM10,Bulgaria,520.0,19.94970802919708,2023-05-20 20:00:00,
PM10,Bulgaria,520.0,19.94970802919708,2023-05-20 19:00:00,
PM10,Bulgaria,520.0,19.94970802919708,2023-05-20 18:00:00,
PM10,Bulgaria,520.0,19.94970802919708,2023-05-20 17:00:00,
O3,Germany,520.0,73.32489497252207,2023-05-20 21:00:00,
O3,Germany,520.0,73.32489497252207,2023-05-20 22:00:00,
PM10,Spain,520.0,18.586395348837208,2023-05-20 17:00:00,
PM10,Spain,520.0,18.586395348837208,2023-05-20 18:00:00,
PM10,Spain,520.0,18.586395348837208,2023-05-20 19:00:00,
PM10,Spain,520.0,18.586395348837208,2023-05-20 20:00:00,
PM10,Spain,520.0,18.586395348837208,2023-05-20 21:00:00,
SO2,Switzerland,520.0,0.17098125,2023-05-20 17:00:00,
SO2,Switzerland,520.0,0.17098125,2023-05-20 18:00:00,
